Code,Mounted,Date_iso,Date_ext,Date_amp,Family,Sequence,L1,R1,L2,R2,L3,R3,L4,R4,L5,R5,L6,R6,L7,R7,L8,R8,L9,R9,L10,R10,Clade,Notes,,
WA001I,N,2024-02-06,2023-03-01,,Lymnaeidae,Genome,,,,,,,,,,,,,,,,,,,,,,,,
WA001J,N,2024-02-06,2023-03-01,,Lymnaeidae,Genome,,,,,,,,,,,,,,,,,,,,,,,,
WA001K,N,2024-02-06,2023-03-01,,Lymnaeidae,Genome,,,,,,,,,,,,,,,,,,,,,,,,
WA001L,N,2024-02-06,2023-03-01,,Lymnaeidae,Genome,,,,,,,,,,,,,,,,,,,,,,,,
WA001M,N,2024-02-06,2023-03-01,,Lymnaeidae,Genome,,,,,,,,,,,,,,,,,,,,,,,,
WA001N,N,2024-02-06,2023-03-01,,Lymnaeidae,Genome,,,,,,,,,,,,,,,,,,,,,,,,
WA001O,N,2024-02-06,2023-03-01,,Lymnaeidae,Genome,,,,,,,,,,,,,,,,,,,,,,,,
WA001P,N,2024-02-06,2023-03-01,,Lymnaeidae,Genome,,,,,,,,,,,,,,,,,,,,,,,,
WA001Q,N,2024-02-06,2023-03-01,,Lymnaeidae,Genome,,,,,,,,,,,,,,,,,,,,,,,,
WA001R,N,2024-02-06,2023-03-01,,Lymnaeidae,Genome,,,,,,,,,,,,,,,,,,,,,,,,
WA001S,N,2024-02-06,2023-03-01,,Lymnaeidae,Genome,,,,,,,,,,,,,,,,,,,,,,,,
WA001T,N,2024-02-06,2023-03-01,,Lymnaeidae,Genome,,,,,,,,,,,,,,,,,,,,,,,,
WA001U,N,2024-02-06,2023-03-01,,Lymnaeidae,Genome,,,,,,,,,,,,,,,,,,,,,,,,
WA003A,Y,2023-10-06,2023-11-08,,Lymnaeidae,Genome,4,,8,,12,,14,,14,,17,,15,,,,,,,,,,,
WA003B,Y,2023-10-06,2023-10-23,,Lymnaeidae,Genome,,,,,,,,,,,,,,,,,,,,,,,,
WA003C,N,2024-02-06,,,Lymnaeidae,Genome,,,,,,,,,,,,,,,,,,,,,,,,
WA003D,N,2024-02-06,,,Lymnaeidae,Genome,,,,,,,,,,,,,,,,,,,,,,,,
WA003E,N,2024-02-06,,,Lymnaeidae,Genome,,,,,,,,,,,,,,,,,,,,,,,,
WA003F,N,2024-02-06,,,Lymnaeidae,Genome,,,,,,,,,,,,,,,,,,,,,,,,
WA003G,N,2024-02-06,,,Lymnaeidae,Genome,,,,,,,,,,,,,,,,,,,,,,,,
WA003H,N,2024-02-06,,,Lymnaeidae,Genome,,,,,,,,,,,,,,,,,,,,,,,,
WA003I,N,2024-02-06,,,Lymnaeidae,Genome,,,,,,,,,,,,,,,,,,,,,,,,
WA003J,N,2024-02-06,,,Lymnaeidae,Genome,,,,,,,,,,,,,,,,,,,,,,,,
WA003K,N,2024-02-06,,,Lymnaeidae,Genome,,,,,,,,,,,,,,,,,,,,,,,,
WA003L,N,2024-02-06,,,Lymnaeidae,Genome,,,,,,,,,,,,,,,,,,,,,,,,
WA003M,N,2024-02-06,,,Lymnaeidae,Genome,,,,,,,,,,,,,,,,,,,,,,,,
WA003N,N,2024-02-06,,,Lymnaeidae,Genome,,,,,,,,,,,,,,,,,,,,,,,,
WA003O,N,2024-02-06,,,Lymnaeidae,Genome,,,,,,,,,,,,,,,,,,,,,,,,
WA003P,N,2024-02-06,,,Lymnaeidae,Genome,,,,,,,,,,,,,,,,,,,,,,,,
WA003Q,N,2024-02-06,,,Lymnaeidae,Genome,,,,,,,,,,,,,,,,,,,,,,,,
WA003R,N,2024-02-06,,,Lymnaeidae,Genome,,,,,,,,,,,,,,,,,,,,,,,,
WA003S,N,2024-02-06,,,Lymnaeidae,Genome,,,,,,,,,,,,,,,,,,,,,,,,
WA003T,N,2024-02-06,,,Lymnaeidae,Genome,,,,,,,,,,,,,,,,,,,,,,,,
WA004A,N,2023-10-25,45238,45257,Physidae,CO1,,,,,,,,,,,,,,,,,,,,,,,,
WA005A,Y,2024-01-23,2024-03-01,,Lymnaeidae,CO1,,,,,,,,,,,,,,,,,,,,,,,,
WA005B,Y,2024-01-23,2024-03-01,,Lymnaeidae,CO1,,,,,,,,,,,,,,,,,,,,,,,,
WA005C,Y,2024-01-23,2024-03-01,,Lymnaeidae,CO1,,,,,,,,,,,,,,,,,,,,,,,,
WA005D,Y,2024-01-23,2024-03-01,,Lymnaeidae,CO1,,,,,,,,,,,,,,,,,,,,,,,,
WA005E,N,2024-01-23,2024-03-01,,Lymnaeidae,CO1,,,,,,,,,,,,,,,,,,,,,,,,
WA006A,Y,2023-10-06,2023-10-20,45257,Lymnaeidae,Genome,,,,,,,,,,,,,,,,,,,,,,,,
WA006B,Y,2023-10-06,2023-10-23,2023-11-27,Lymnaeidae,Genome,,,,,,,,,,,,,,,,,,,,,,,,
WA006C,N,2024-02-06,2023-02-27,,Lymnaeidae,Genome,,,,,,,,,,,,,,,,,,,,,,,,
WA006D,N,2024-02-06,2023-02-27,,Lymnaeidae,Genome,,,,,,,,,,,,,,,,,,,,,,,,
WA006E,N,2024-02-06,2023-02-27,,Lymnaeidae,Genome,,,,,,,,,,,,,,,,,,,,,,,,
WA006F,N,2024-02-06,2023-02-27,,Lymnaeidae,Genome,,,,,,,,,,,,,,,,,,,,,,,,
WA006G,N,2024-02-06,2023-02-27,,Lymnaeidae,Genome,,,,,,,,,,,,,,,,,,,,,,,,
WA006H,N,2024-02-06,2023-02-27,,Lymnaeidae,Genome,,,,,,,,,,,,,,,,,,,,,,,,
WA006I,N,2024-02-06,2023-02-27,,Lymnaeidae,Genome,,,,,,,,,,,,,,,,,,,,,,,,
WA006J,N,2024-02-06,2023-02-27,,Lymnaeidae,Genome,,,,,,,,,,,,,,,,,,,,,,,,
WA006K,N,2024-02-06,2023-02-27,,Lymnaeidae,Genome,,,,,,,,,,,,,,,,,,,,,,,,
WA006L,N,2024-02-06,2023-02-27,,Lymnaeidae,Genome,,,,,,,,,,,,,,,,,,,,,,,,
WA006M,N,2024-02-06,2023-02-27,,Lymnaeidae,Genome,,,,,,,,,,,,,,,,,,,,,,,,
WA006N,N,2024-02-06,2023-02-27,,Lymnaeidae,Genome,,,,,,,,,,,,,,,,,,,,,,,,
WA006O,N,2024-02-06,2023-02-27,,Lymnaeidae,Genome,,,,,,,,,,,,,,,,,,,,,,,,
WA006P,N,2024-02-06,2023-02-27,,Lymnaeidae,Genome,,,,,,,,,,,,,,,,,,,,,,,,
WA006Q,N,2024-02-06,2023-02-27,,Lymnaeidae,Genome,,,,,,,,,,,,,,,,,,,,,,,,
WA006R,N,2024-02-06,2023-02-27,,Lymnaeidae,Genome,,,,,,,,,,,,,,,,,,,,,,,,
WA006S,N,2024-02-06,2023-02-27,,Lymnaeidae,Genome,,,,,,,,,,,,,,,,,,,,,,,,
WA006T,N,2024-02-06,2023-02-27,,Lymnaeidae,Genome,,,,,,,,,,,,,,,,,,,,,,,,
WA009A,Y,2023-10-25,2023-11-02,45257,Lymnaeidae,CO1,5,,8,,13,,13,,13,13,15,,,,,,,,,,1,,,
